order_id,product_id,add_to_cart_order,reordered
56025,40797,1,0
56027,40587,5,1
56027,40590,7,1
56027,40621,1,0
56027,40690,7,1
56027,40724,1,0
56086,40587,5,1
56086,40588,3,1
56086,40589,3,1
56086,40601,2,1
56086,40649,1,0
56086,40651,1,0
56086,40669,1,1
56086,40672,3,1
56086,40696,2,1
56086,40723,1,1
56086,40729,1,0
56086,40735,3,0
56086,40760,2,1
56086,40773,2,1
56086,40796,10,1
56086,40799,2,0
56138,40650,5,1
56138,40745,1,1
56138,40757,1,1
56138,40769,1,1
56139,40586,12,1
56139,40630,15,1
56159,40587,5,1
56159,40588,2,1
56159,40589,2,1
56159,40601,3,1
56159,40618,1,0
56159,40632,3,1
56159,40643,40,1
56159,40690,10,1
56159,40722,0.5,0
56159,40733,2,1
56159,40760,1,1
56159,40796,10,1
56159,40841,3,1
56159,40876,30,0
56159,40962,15,1
56160,40643,50,1
56160,40945,6,0
56160,40962,15,1
56162,40643,100,1
56243,40579,3,1
56243,40582,1,1
56243,40583,1,0
56243,40587,5,1
56243,40588,3,1
56243,40589,3,1
56243,40590,5,1
56243,40613,1,1
56243,40627,4,1
56243,40643,80,1
56243,40650,2,1
56243,40690,10,1
56243,40750,3,1
56243,40753,4,1
56243,40758,5,0
56243,40760,2,1
56243,40771,4,1
56243,40774,40,1
56243,40796,10,1
56243,40798,10,0
56243,40799,2,1
56249,40796,10,1
56289,40586,10,1
56289,40587,3,1
56289,40590,5,1
56289,40635,60,0
56289,40643,30,1
56290,40593,2,1
56290,40601,2,1
56290,40649,2,1
56290,40745,2,1
56292,40593,1,1
56292,40601,1,1
56292,40618,1,1
56292,40650,10,1
56292,40745,1,1
56292,40757,1,1
56292,40769,1,1
56359,40577,2,0
56359,40582,1,1
56359,40587,5,1
56359,40590,10,1
56359,40601,3,1
56359,40613,1,1
56359,40615,3,1
56359,40618,1,1
56359,40630,10,1
56359,40669,2,1
56359,40690,5,1
56359,40724,1,1
56359,40729,2,1
56359,40760,4,1
56359,40769,2,1
56359,40774,40,1
56359,40796,10,1
56359,40799,3,1
56359,40841,2,1
56363,40617,1,1
56363,40650,10,1
56363,40745,1,1
56363,40769,1,1
56366,40650,5,1
56366,40745,2,1
56366,40769,3,1
56366,40859,2,0
56453,40643,25,1
56485,40579,8,1
56485,40587,2,1
56485,40588,1,1
56485,40589,2,1
56485,40594,60,1
56485,40760,3,1
56485,40774,30,1
56485,40924,3,1
56486,40593,1,1
56486,40733,2,1
56487,40586,10,1
56487,40590,5,1
56570,40582,1,1
56570,40587,5,1
56570,40588,2,1
56570,40589,2,1
56570,40601,2,1
56570,40613,1,1
56570,40627,6,1
56570,40632,2,1
56570,40690,10,1
56570,40729,2,1
56570,40735,2,1
56570,40753,4,1
56570,40760,2,1
56570,40771,4,1
56570,40811,3,1
56570,40841,2,1
56573,40601,1,1
56573,40617,1,1
56573,40646,1,1
56573,40731,1,0
56573,40745,1,1
56573,40769,1,1
56573,40797,1,1
56631,40586,10,1
56631,40806,20,1
56631,40844,15,1
56631,40848,16,1
56631,40863,15,0
56634,40646,1,1
56634,40650,7,1
56634,40729,1,1
56634,40745,1,1
56634,40769,1,1
56634,40773,3,1
56634,40797,1,1
56635,40593,2,1
56635,40611,2,0
56635,40650,5,1
56635,40658,2,0
56635,40729,2,1
56635,40745,3,1
56635,40769,3,1
56635,40924,1,1
56747,40582,1,1
56747,40587,3,1
56747,40590,5,1
56747,40601,3,1
56747,40613,1,1
56747,40724,1,1
56747,40733,2,1
56747,40774,40,1
56749,40587,5,1
56749,40590,8,1
56749,40643,30,1
